id,original_language,original_title,overview,popularity,release_date,title,vote_average,vote_count,poster_url,backdrop_url,release_year,release_month,popularity_level,rating_level,genres,genres_str
256040,te,బాహుబలి:ద బిగినింగ్,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.",5.483799934387207,2015-07-10,Bāhubali: The Beginning,7.526000022888184,875,https://image.tmdb.org/t/p/w342/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,https://image.tmdb.org/t/p/w780/e9ZEuHGHZ06AToHlfN1L7nejJ7W.jpg,2015,7,high,good,"['Action', 'Drama']","Action, Drama"
16633,en,Somewhere in Time,"Young writer Richard Collier is met on the opening night of his first play by an old lady who begs him to ""Come back to me"". Mystified, he tries to find out about her, and learns that she is a famous stage actress from the early twentieth century. Becoming more and more obsessed with her, by self-hypnosis he manages to travel back in time—where he meets her.",1.711400032043457,1980-10-02,Somewhere in Time,7.526000022888184,627,https://image.tmdb.org/t/p/w342/hmdegiSwVYUNvEfihaE3HRM3Sos.jpg,https://image.tmdb.org/t/p/w780/d7gEJYEookiF0SHPD8fMXcCgpC9.jpg,1980,10,low,good,"['Drama', 'Fantasy', 'Romance']","Drama, Fantasy, Romance"
1949,en,Zodiac,"The Zodiac murders cause the lives of Paul Avery, David Toschi and Robert Graysmith to intersect.",6.42519998550415,2007-03-02,Zodiac,7.526000022888184,11132,https://image.tmdb.org/t/p/w342/6YmeO4pB7XTh8P8F960O1uA14JO.jpg,https://image.tmdb.org/t/p/w780/3zCPI4JFc54xvLaJ71oI2KoP3az.jpg,2007,3,very high,good,"['Crime', 'Mystery', 'Thriller']","Crime, Mystery, Thriller"
4553,en,The Machinist,"Trevor, an insomniac lathe operator, experiences unusual occurrences at work and home. A strange man follows him everywhere, but no one else seems to notice him.",4.880199909210205,2004-09-24,The Machinist,7.526000022888184,5889,https://image.tmdb.org/t/p/w342/diAYqR4xdF9Hnj7qun6DEQhRrT2.jpg,https://image.tmdb.org/t/p/w780/hokXWehieJ2mdiward3L0qnGI7r.jpg,2004,9,high,good,"['Thriller', 'Drama']","Thriller, Drama"
2487,ja,修羅雪姫,Yuki's family is nearly wiped out before she is born due to the machinations of a band of criminals. These criminals kidnap and brutalize her mother but leave her alive. Later her mother ends up in prison with only revenge to keep her alive. She creates an instrument for this revenge by purposefully getting pregnant. Yuki never knows the love of a family but only killing and revenge.,3.2632999420166016,1973-12-01,Lady Snowblood,7.525000095367432,397,https://image.tmdb.org/t/p/w342/wkcbaqCoYEXDUnSQ6NTnB2C7H05.jpg,https://image.tmdb.org/t/p/w780/u2fkLndVDFA0ie4a8k6GpWWsm0N.jpg,1973,12,medium,good,"['Action', 'Crime', 'Drama']","Action, Crime, Drama"
900,en,Bringing Up Baby,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.",1.676200032234192,1938-02-18,Bringing Up Baby,7.52400016784668,1029,https://image.tmdb.org/t/p/w342/vTNNOtemaYmtx3k2NpsLMRJKEwZ.jpg,https://image.tmdb.org/t/p/w780/fzJgCQh2NBnUYlms8EGyr4bPNz3.jpg,1938,2,low,good,"['Comedy', 'Romance']","Comedy, Romance"
127533,ja,るろうに剣心,"In 1868, after the Bakumatsu war ends, the ex-assassin Kenshin Himura traverses Japan with an inverted sword, to defend the needy without killing.",8.860799789428711,2012-08-25,Rurouni Kenshin Part I: Origins,7.5229997634887695,860,https://image.tmdb.org/t/p/w342/vo3Zs07PZfKNsTrU0pcPZONJcN5.jpg,https://image.tmdb.org/t/p/w780/2bHoj05gR7I5gp4oeoDCY6bU42d.jpg,2012,8,very high,good,"['Adventure', 'Action', 'Fantasy', 'War', 'History']","Adventure, Action, Fantasy, War, History"
111083,es,El cuerpo,"A woman’s body disappears mysteriously from the morgue without a trace. Police inspector Jaime Peña investigates the strange occurrence with the help of Álex Ulloa, the widower of the missing woman.",6.284900188446045,2012-12-21,The Body,7.5,1347,https://image.tmdb.org/t/p/w342/du9zczcShf4WIuljDR0Aib7AYtX.jpg,https://image.tmdb.org/t/p/w780/z3gZRm7ZnWVyKpZHJ4vho7wRZW3.jpg,2012,12,very high,good,"['Thriller', 'Mystery']","Thriller, Mystery"
39107,ja,ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,"Not paying attention to his job, a young demon allows the evil cleansing machine to overflow and explode, turning the young demon into the infamous monster Janemba. Goku and Vegeta make solo attempts to defeat the monster, but realize their only option is fusion.",6.014800071716309,1995-03-04,Dragon Ball Z: Fusion Reborn,7.521999835968018,893,https://image.tmdb.org/t/p/w342/7AHvaEAeQfkfJ4OqcBePxa2ao09.jpg,https://image.tmdb.org/t/p/w780/5seSw3hQTFSYzdh6kHOSAmExUA.jpg,1995,3,very high,good,"['Animation', 'Action', 'Science Fiction']","Animation, Action, Science Fiction"
22292,en,The Ghost and Mrs. Muir,A young British widow rents a seaside cottage and soon becomes haunted by the ghost of its former owner.,1.1723999977111816,1947-05-25,The Ghost and Mrs. Muir,7.521999835968018,336,https://image.tmdb.org/t/p/w342/idoD3cwfwj86BPvVoWVgWhnT2xq.jpg,https://image.tmdb.org/t/p/w780/m1QTfbKD90j63Gh9bOJt0g67LvA.jpg,1947,5,low,good,"['Romance', 'Fantasy', 'Drama']","Romance, Fantasy, Drama"
